Rank,Name,Company,Country,Score,Citations,H-Index,Papers,First Author Papers,ORCID,Author ID,Status,Stock_Ticker,Exchange,Stock_Price,Currency,Market_Cap,Note
16,Karl Marx,Material (Belgium),BE,0.703,50655,80,3,3,,https://openalex.org/A5111412543,Public,XAB=F,CME,$946.10,USD,N/A,
62,Tero Karras,Nvidia (United Kingdom),GB,0.603,30272,44,3,3,,https://openalex.org/A5004093189,Public,NVDA,NASDAQ,$190.90,USD,$4.65T,
197,Hassan Ismail Fawaz,Ericsson (Finland),FI,0.603,4748,12,1,1,https://orcid.org/0000-0003-1384-5996,https://openalex.org/A5044378917,Public,ERIC,NASDAQ,$9.43,USD,$31.63B,
208,A. Saravanan,Aditya Birla (India),IN,0.603,14725,61,2,1,https://orcid.org/0000-0002-5420-8662,https://openalex.org/A5050800897,Public,0P0000IUJV.BO,BSE,$28.24,INR,N/A,
216,Ivan Kobyzev,Huawei Technologies (Sweden),SE,0.603,1522,8,1,1,https://orcid.org/0000-0003-1934-4842,https://openalex.org/A5008923192,Private,,,,,Private,Chinese private company
252,William Thielicke,Faseroptische Systeme Messtechnik (Germany),DE,0.603,3595,10,1,1,https://orcid.org/0000-0001-8866-9769,https://openalex.org/A5045311370,Private/Unknown,,,,,Unknown,Company not found in public markets
385,Vladimir Karpukhin,Meta (Israel),IL,0.453,5070,17,2,1,,https://openalex.org/A5032508066,Public,META,NASDAQ,$751.91,USD,$1.89T,
431,Daníel F. Guðbjartsson,deCODE Genetics (Iceland),IS,0.404,77968,138,3,2,https://orcid.org/0000-0002-5222-9857,https://openalex.org/A5042302428,Acquired,,,,,Private,Acquired by Amgen 2012 for $415M
463,Ashkan Afshin,Novel (United States),US,0.403,136909,66,6,0,https://orcid.org/0000-0001-6239-8809,https://openalex.org/A5028948429,Public,002014.SZ,SHZ,$11.31,CNY,$6.93B,
465,Andrew M. Campbell,Microsoft Research (India),IN,0.403,2738,20,1,1,https://orcid.org/0000-0002-0285-6297,https://openalex.org/A5039260717,Public,MSFT,NASDAQ,$532.77,USD,$3.96T,
483,Sandhini Agarwal,OpenAI (United States),US,0.403,24373,12,4,0,,https://openalex.org/A5057289323,Private,,,,,$80B+ (2024),
490,Shifeng Zhang,Huawei Technologies (Sweden),SE,0.403,2836,14,1,1,,https://openalex.org/A5107947635,Private,,,,,Private,Chinese private company
584,Jürgen Rudolph,Framatome (Germany),DE,0.403,2409,14,1,1,,https://openalex.org/A5109171711,Private/Unknown,,,,,Unknown,Company not found in public markets
631,Eveline M. Bunge,Pallas (Germany),DE,0.403,3117,25,1,1,https://orcid.org/0000-0001-7988-909X,https://openalex.org/A5012700379,Public,PALLAS.HE,HEL,$0.68,EUR,"$874,658",
664,Shervin Minaee,Snap (United States),US,0.403,8435,31,3,3,https://orcid.org/0000-0001-6689-9221,https://openalex.org/A5017101039,Public,SNAP,NYSE,$7.94,USD,$13.42B,
665,Zheng Ge,Megvii (China),,0.403,3417,6,1,1,https://orcid.org/0000-0001-8770-2555,https://openalex.org/A5103095930,Private,,,,,Private,Chinese AI unicorn
668,Yundong Zhang,Vimicro (China),CN,0.403,1780,13,1,1,https://orcid.org/0000-0001-7836-2034,https://openalex.org/A5101810418,Public,VIMC,NASDAQ,,USD,N/A,
677,Enze Xie,Huawei Technologies (Sweden),SE,0.403,13434,32,3,1,https://orcid.org/0000-0001-6890-1049,https://openalex.org/A5041031140,Private,,,,,Private,Chinese private company
710,Mingxing Tan,Nomor Research (Germany),DE,0.403,30994,33,2,2,,https://openalex.org/A5110774377,Private/Unknown,,,,,Unknown,Company not found in public markets
715,Édouard Grave,Meta (United Kingdom),GB,0.403,33823,56,2,0,,https://openalex.org/A5069316249,Public,META,NASDAQ,$751.91,USD,$1.89T,
801,Hanna Wallach,Microsoft Research New York City (United States),,0.403,14707,45,2,1,https://orcid.org/0000-0003-3395-7186,https://openalex.org/A5046348432,Public,MSFT,NASDAQ,$532.78,USD,$3.96T,
874,George Armstrong Kelly,Integrated Sensors (United States),US,0.403,2869,22,1,1,,https://openalex.org/A5112152592,Private/Unknown,,,,,Unknown,Company not found in public markets
935,Amelia K. Boehme,Aetion (United States),US,0.403,19086,46,3,0,https://orcid.org/0000-0001-7408-1075,https://openalex.org/A5035161117,Private/Unknown,,,,,Unknown,Company not found in public markets
947,Wayne Xin Zhao,Humanwell Healthcare Group (China),CN,0.403,15223,55,1,1,https://orcid.org/0000-0002-8333-6196,https://openalex.org/A5037145565,Public,600079.SS,SHH,$21.54,CNY,$35.16B,
988,Bert Metz,Nuclear Research and Consultancy Group,NL,0.403,23605,24,1,1,,https://openalex.org/A5110382351,Private/Unknown,,,,,Unknown,Company not found in public markets
1019,David Zemánek,Sequoia (United States),US,0.403,4944,22,2,0,https://orcid.org/0000-0001-7336-6116,https://openalex.org/A5005097439,Public,SEQUX,NAS,$212.22,USD,$5.12B,
1070,Herbert Marcuse,Short and Associates (United States),US,0.403,15191,45,1,1,,https://openalex.org/A5108693791,Private/Unknown,,,,,Unknown,Company not found in public markets
1110,John R. Howell,Walker (United States),US,0.403,16467,44,1,1,https://orcid.org/0000-0001-9578-7923,https://openalex.org/A5022518314,Public,1WV0.F,FRA,$0.17,EUR,$9.34M,
1111,Daniel P. Raymer,Conceptual Mindworks (United States),US,0.403,3475,10,1,1,,https://openalex.org/A5034934314,Private/Unknown,,,,,Unknown,Company not found in public markets
1139,Randall Stewart,Netflix (United States),US,0.403,5195,27,1,1,,https://openalex.org/A5001496533,Public,NFLX,NASDAQ,$1097.29,USD,$464.96B,
1170,A.G. Gurevich,Nokia (United States),US,0.403,1642,3,1,1,,https://openalex.org/A5003220635,Public,NOK,NYSE,$6.38,USD,$34.29B,
1180,M. Jutzi,Tesat-Spacecom (Germany),DE,0.403,1977,7,1,1,,https://openalex.org/A5077060613,Private/Unknown,,,,,Unknown,Company not found in public markets
1221,Cinzia Marano,GlaxoSmithKline (Belgium),BE,0.403,1914,16,1,1,https://orcid.org/0000-0002-3012-2899,https://openalex.org/A5106172976,Public,GSK,NYSE,$43.71,USD,$89.32B,
1267,Brian Avants,Invicro (United States),US,0.403,38770,62,1,1,https://orcid.org/0000-0002-4212-3362,https://openalex.org/A5016551394,Private/Unknown,,,,,Unknown,Company not found in public markets
1316,Xian‐Da Zhang,Yahoo (United Kingdom),GB,0.403,5660,31,1,1,https://orcid.org/0009-0005-3705-7769,https://openalex.org/A5063336422,Public,YOJ.SG,STU,$2.52,EUR,N/A,
1318,Junaid Bajwa,Microsoft (United Kingdom),GB,0.403,1055,3,1,1,https://orcid.org/0009-0003-0817-6553,https://openalex.org/A5027221899,Public,MSFT,NASDAQ,$532.77,USD,$3.96T,
1334,Maarten Grootendorst,Lightpoint Medical (United Kingdom),GB,0.403,1844,12,1,1,https://orcid.org/0000-0002-1260-1976,https://openalex.org/A5028666747,Private/Unknown,,,,,Unknown,Company not found in public markets
1361,Shruti Jadon,Juniper Networks (United States),US,0.403,1210,11,1,1,https://orcid.org/0000-0002-6953-142X,https://openalex.org/A5068586725,Public,JNPR,NYSE,,USD,N/A,
1417,Gottlob Frege,Hamburg Institut (Germany),DE,0.403,10949,38,1,1,,https://openalex.org/A5034371619,Private/Unknown,,,,,Unknown,Company not found in public markets
1421,Mohammadreza Sheykhmousa,Accenture (Switzerland),CH,0.403,1144,4,1,1,https://orcid.org/0000-0002-3673-7544,https://openalex.org/A5009824452,Public,ACN,NYSE,$250.72,USD,$155.48B,
1567,Alexander Kirillov,Meta (Israel),IL,0.304,20580,30,3,1,https://orcid.org/0000-0003-3169-3199,https://openalex.org/A5101930471,Public,META,NASDAQ,$751.91,USD,$1.89T,
1612,Kirsty Adams,Exact Sciences (United States),US,0.303,7327,7,2,0,https://orcid.org/0000-0003-2375-1483,https://openalex.org/A5072917765,Public,EXAS,NASDAQ,$63.72,USD,$12.06B,
1619,Yongxia Shi,Guangdong Inspection and Quarantine Technology Center (China),CN,0.303,4366,18,1,0,https://orcid.org/0000-0003-3590-2365,https://openalex.org/A5016841237,Private/Unknown,,,,,Unknown,Company not found in public markets
1622,Jicheng Huang,Guangdong Inspection and Quarantine Technology Center (China),CN,0.303,5426,16,1,0,https://orcid.org/0000-0002-5882-7559,https://openalex.org/A5077559490,Private/Unknown,,,,,Unknown,Company not found in public markets
1678,Özlem Türeci,BioNTech (Germany),DE,0.303,52023,77,8,0,https://orcid.org/0000-0002-0623-1497,https://openalex.org/A5000036560,Public,BNTX,NASDAQ,$105.06,USD,$25.26B,
1680,Uğur Şahin,BioNTech (Germany),DE,0.303,65877,100,8,2,https://orcid.org/0000-0003-0363-1564,https://openalex.org/A5075617216,Public,BNTX,NASDAQ,$105.06,USD,$25.26B,
1711,J. P. Dietrich,Continental (Germany),DE,0.303,33581,65,2,0,https://orcid.org/0000-0002-8134-9591,https://openalex.org/A5107656958,Public,CON.DE,XETRA,$65.18,EUR,$13.04B,
1719,Girish Sastry,OpenAI (United States),US,0.303,23096,13,4,0,,https://openalex.org/A5059260582,Private,,,,,$80B+ (2024),
1725,Alec Radford,OpenAI (United States),US,0.303,62392,32,6,1,,https://openalex.org/A5051250767,Private,,,,,$80B+ (2024),
1802,Jonathan Bright,Sabre (United States),US,0.303,12851,9,2,0,https://orcid.org/0000-0001-5348-3374,https://openalex.org/A5012506346,Public,SABR,NASDAQ,$2.12,USD,$838.34M,
1816,Lewei Lu,Group Sense (China),HK,0.303,5033,15,2,0,https://orcid.org/0009-0009-9809-3818,https://openalex.org/A5000474748,Private/Unknown,,,,,Unknown,Company not found in public markets
1818,Janne Hellsten,Nvidia (United Kingdom),GB,0.303,7207,10,2,0,,https://openalex.org/A5059146062,Public,NVDA,NASDAQ,$190.90,USD,$4.65T,
1909,Chiara Tassan Din,BioSurfaces (United States),US,0.303,2697,18,1,0,https://orcid.org/0000-0002-5362-6897,https://openalex.org/A5070043304,Private/Unknown,,,,,Unknown,Company not found in public markets
1938,Robert L. Logan,Dataminr (United States),,0.303,2099,13,1,0,,https://openalex.org/A5103983469,Private,,,,,Private,Last valued at $4.1B (2021)
1958,Johan Sundström,RaySearch Laboratories (Sweden),SE,0.303,82069,111,2,0,https://orcid.org/0000-0003-2247-8454,https://openalex.org/A5074614812,Public,RAYB.ST,Stockholm,,USD,N/A,
2070,Yali Liu,Daiichi Sankyo (United States),US,0.303,1004,2,1,0,https://orcid.org/0000-0003-2125-3755,https://openalex.org/A5022448589,Public,4568.T,Tokyo,$3999.00,JPY,$7.45T,
2071,Jillian Cathcart,Daiichi Sankyo (Germany),DE,0.303,2811,16,1,0,https://orcid.org/0000-0002-6630-4221,https://openalex.org/A5088057801,Public,4568.T,Tokyo,$3999.00,JPY,$7.45T,
2166,Roger Lewis,Berry & Associates (United States),US,0.303,26027,68,2,0,https://orcid.org/0000-0002-0020-4869,https://openalex.org/A5060618362,Private/Unknown,,,,,Unknown,Company not found in public markets
2168,Elizabeth Lorenzi,Berry & Associates (United States),US,0.303,5989,19,2,0,https://orcid.org/0000-0002-7259-2696,https://openalex.org/A5054647119,Private/Unknown,,,,,Unknown,Company not found in public markets
2178,Lindsay Bond,Ozmosis Research (Canada),CA,0.303,1585,4,1,0,,https://openalex.org/A5029744589,Private/Unknown,,,,,Unknown,Company not found in public markets
2190,Michelle A. Detry,Berry & Associates (United States),US,0.303,10460,40,2,0,https://orcid.org/0000-0002-2794-1439,https://openalex.org/A5069999714,Private/Unknown,,,,,Unknown,Company not found in public markets
2199,Mark Fitzgerald,Berry & Associates (United States),US,0.303,4524,9,2,0,,https://openalex.org/A5107430469,Private/Unknown,,,,,Unknown,Company not found in public markets
2239,Alex Nichol,OpenAI (United States),US,0.303,8919,14,3,0,,https://openalex.org/A5058076181,Private,,,,,$80B+ (2024),
2325,Peter Welinder,OpenAI (United States),US,0.303,16350,26,2,0,,https://openalex.org/A5010674841,Private,,,,,$80B+ (2024),
2357,Oriol Vinyals,Google (United Kingdom),GB,0.303,175535,105,4,0,https://orcid.org/0000-0001-7848-7283,https://openalex.org/A5003562101,Public,GOOGL,NASDAQ,$266.53,USD,$3.23T,
2365,Andrew M. Dai,Meta (Israel),IL,0.303,12619,28,2,0,https://orcid.org/0009-0007-9200-8577,https://openalex.org/A5101597225,Public,META,NASDAQ,$751.91,USD,$1.89T,
2386,Elin Haf Davies,Eli Lilly (United Kingdom),GB,0.303,3953,24,2,0,https://orcid.org/0000-0002-4987-0088,https://openalex.org/A5012996121,Public,LLY,NYSE,$821.00,USD,$735.99B,
2418,Filippo Crea,Isola (Norway),NO,0.303,70164,104,3,0,https://orcid.org/0000-0002-9482-411X,https://openalex.org/A5031505042,Private/Unknown,,,,,Unknown,Company not found in public markets
2508,Henry Lahore,M.C. Townsend Associates (United States),US,0.303,2739,7,1,0,https://orcid.org/0000-0003-4930-9044,https://openalex.org/A5076102213,Private/Unknown,,,,,Unknown,Company not found in public markets
2511,Alexander S. Parker,Allium & Brassica Centre (United Kingdom),GB,0.303,1280,5,1,0,https://orcid.org/0000-0002-2474-2645,https://openalex.org/A5060694231,Private/Unknown,,,,,Unknown,Company not found in public markets
2649,Cedric R. Uytingco,10X Genomics (United States),US,0.303,3208,13,2,0,https://orcid.org/0000-0003-1625-3988,https://openalex.org/A5014285260,Public,TXG,NASDAQ,$13.72,USD,$1.71B,
2650,Jennifer Chew,10X Genomics (United States),US,0.303,3110,12,2,0,,https://openalex.org/A5030557421,Public,TXG,NASDAQ,$13.72,USD,$1.71B,
2651,Stephen R. Williams,10X Genomics (United States),US,0.303,9623,29,2,0,https://orcid.org/0000-0003-2108-2757,https://openalex.org/A5034310814,Public,TXG,NASDAQ,$13.72,USD,$1.71B,
2809,Derya Tilki,Eppendorf (Germany),DE,0.303,20432,69,2,0,https://orcid.org/0000-0001-7033-1380,https://openalex.org/A5030545703,Private/Unknown,,,,,Unknown,Company not found in public markets
2853,Camilo Boza,Clínica MEDS (Chile),CL,0.303,4816,36,1,0,,https://openalex.org/A5039471896,Private/Unknown,,,,,Unknown,Company not found in public markets
2915,Sumit Singh Chauhan,Kentropy Technologies (India),IN,0.303,3573,2,1,0,https://orcid.org/0009-0001-1777-2272,https://openalex.org/A5053462764,Private/Unknown,,,,,Unknown,Company not found in public markets
3015,Malte Meinshausen,Climate Resource (Australia),,0.303,41879,67,3,1,https://orcid.org/0000-0003-4048-3521,https://openalex.org/A5008924658,Private/Unknown,,,,,Unknown,Company not found in public markets
3099,Victor Talpaert,Akka Technologies (France),FR,0.303,1684,6,1,0,https://orcid.org/0000-0003-3259-0052,https://openalex.org/A5060847390,Private/Unknown,,,,,Unknown,Company not found in public markets
3137,Owen Gaffney,Winterthur Gas & Diesel (Switzerland),CH,0.303,15305,22,1,0,https://orcid.org/0000-0001-6244-991X,https://openalex.org/A5081662976,Private/Unknown,,,,,Unknown,Company not found in public markets
3403,Haofeng Li,Jilian Technology Group (China),CN,0.303,2883,26,1,0,https://orcid.org/0000-0001-9120-9843,https://openalex.org/A5077081913,Private/Unknown,,,,,Unknown,Company not found in public markets
3528,Ian C. Harding,Wave Life Sciences (United States),US,0.303,1381,12,1,0,https://orcid.org/0000-0001-6455-2849,https://openalex.org/A5013939079,Public,WVE,NASDAQ,$7.51,USD,$1.20B,
